data_hora_boletim,sequencial_veiculo,descricao_categoria,descricao_especie,descricao_situacao,descricao_tipo_socorro
02/01/2012 18:36,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
02/01/2012 18:36,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
02/01/2012 18:40,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,VIATURA PMMG        
02/01/2012 19:05,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
02/01/2012 19:05,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
02/01/2012 19:32,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
02/01/2012 19:32,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
02/01/2012 19:59,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
02/01/2012 20:22,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
02/01/2012 20:22,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
02/01/2012 22:02,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
02/01/2012 22:02,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
02/01/2012 22:50,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
02/01/2012 22:50,2,ALUGUEL                       ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
03/01/2012 01:31,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 01:31,2,PARTICULAR                    ,AUTOMOVEL                     ,               ,VIATURA PMMG        
03/01/2012 01:31,3,PARTICULAR                    ,AUTOMOVEL                     ,               ,VIATURA PMMG        
03/01/2012 06:22,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
03/01/2012 06:22,2,                 ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
03/01/2012 07:14,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,AMBULANCIA          
03/01/2012 07:15,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,AMBULANCIA          
03/01/2012 07:59,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
03/01/2012 08:07,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
03/01/2012 08:27,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
03/01/2012 08:27,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
03/01/2012 08:27,3,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
03/01/2012 08:27,4,                 ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
03/01/2012 08:28,1,PARTICULAR                    ,AUTOMOVEL                     ,               ,      
03/01/2012 08:28,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
03/01/2012 09:28,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
03/01/2012 09:28,2,PARTICULAR                    ,AUTOMOVEL                     ,PARADO         ,      
03/01/2012 09:28,3,ALUGUEL                       ,CAMINHAO-TRATOR               ,EM MOVIMENTO   ,AMBULANCIA          
03/01/2012 09:30,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,VEICULO ENVOLVIDO   
03/01/2012 10:12,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
03/01/2012 10:12,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
03/01/2012 11:49,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
03/01/2012 12:02,1,                 ,BICICLETA                     ,EM MOVIMENTO   ,AMBULANCIA          
03/01/2012 12:02,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
03/01/2012 12:07,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,AMBULANCIA          
03/01/2012 12:50,1,PARTICULAR                    ,CAMIONETA                     ,EM MOVIMENTO   ,      
03/01/2012 12:50,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
03/01/2012 13:28,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
03/01/2012 13:28,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
03/01/2012 13:54,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
03/01/2012 13:55,1,ALUGUEL                       ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 14:23,1,PARTICULAR                    ,MICROONIBUS                   ,EM MOVIMENTO   ,      
03/01/2012 14:23,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
03/01/2012 14:39,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 14:39,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 14:58,1,PARTICULAR                    ,MOTONETA                      ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 14:58,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 14:59,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 16:13,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 18:04,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 18:04,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 18:28,1,ALUGUEL                       ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 18:28,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 18:55,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 18:55,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 18:55,3,ALUGUEL                       ,CAMINHAO                      ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 19:44,1,ALUGUEL                       ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 19:57,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 19:57,2,                 ,                 , ,      
03/01/2012 21:07,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 22:39,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 23:52,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
03/01/2012 23:52,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 07:15,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,VEICULO ENVOLVIDO   
04/01/2012 07:45,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
04/01/2012 07:45,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
04/01/2012 07:51,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 08:30,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 08:59,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
04/01/2012 08:59,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
04/01/2012 09:40,1,ALUGUEL                       ,CAMINHAO                      ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 09:40,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 10:34,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
04/01/2012 10:34,2,ALUGUEL                       ,CAMINHAO                      ,EM MOVIMENTO   ,      
04/01/2012 10:35,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 10:35,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 10:41,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
04/01/2012 12:40,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 12:42,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 12:42,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 12:48,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
04/01/2012 12:48,2,PARTICULAR                    ,CAMINHAO                      ,EM MOVIMENTO   ,      
04/01/2012 13:01,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 13:01,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 13:03,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
04/01/2012 13:03,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
04/01/2012 13:14,1,PARTICULAR                    ,CAMIONETA                     ,EM MOVIMENTO   ,AMBULANCIA          
04/01/2012 13:16,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,TERCEIROS           
04/01/2012 13:16,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
04/01/2012 13:19,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 13:45,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 13:45,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 14:05,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 14:05,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 14:28,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
04/01/2012 14:45,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 14:45,2,PARTICULAR                    ,CARROCA                       ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 16:00,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
04/01/2012 16:00,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
04/01/2012 16:10,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 16:10,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 16:12,1,OFICIAL                       ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
