data_boletim,sequencia_logradouros,tipo_logradouro,nome_logradouro,nome_bairro,descricao_tipo_bairro,numero_imovel
09/03/2013 16:23,1,AVE,NOSSA SENHORA DO CARMO                            ,SAO PEDRO                                         ,BAIRRO                        ,706
09/03/2013 16:30,1,RUA,EXPEDICIONARIO JOSE SILVA                         ,                                     ,                 ,S/N
09/03/2013 16:30,2,RUA,EDSON LUIZ MIRANDA                                ,                                     ,                 ,0
09/03/2013 16:30,3,RUA,JOSE ISIDORO MIRANDA                              ,                                     ,                 ,S/N
09/03/2013 16:36,1,RUA,MARFIM                                            ,PINDORAMA                                         ,BAIRRO                        ,431
09/03/2013 18:44,1,ROD,MG VINTE                                          ,RIBEIRO DE ABREU                                  ,BAIRRO                        ,KM 14
09/03/2013 19:00,1,RUA,CONSELHEIRO ROCHA                                 ,                                     ,                 ,S/N
09/03/2013 19:00,2,RUA,PITANGUI                                          ,                                     ,                 ,0
09/03/2013 19:00,3,AVE,SILVIANO BRANDAO                                  ,                                     ,                 ,S/N
09/03/2013 19:01,1,AVE,TERESA CRISTINA                                   ,BAIRRO MADRE GERTRUDES                            ,BAIRRO                        ,9162
09/03/2013 19:58,1,RUA,NIQUELINA                                         ,PARAISO                                           ,BAIRRO                        ,1433
09/03/2013 20:07,1,RUA,CURITIBA                                          ,                                     ,                 ,SN
09/03/2013 20:07,2,RUA,VINTE E UM DE ABRIL                               ,                                     ,                 ,0
09/03/2013 20:07,3,RUA,DOS GUAICURUS                                     ,                                     ,                 ,SN
09/03/2013 21:32,1,AVE,SERRANA                                           ,SERRANO                                           ,BAIRRO                        ,SN
09/03/2013 21:32,2,RUA,ANTONIO FALABELA                                  ,SERRANO                                           ,BAIRRO                        ,0
09/03/2013 21:32,3,AVE,HENFIL                                            ,SERRANO                                           ,BAIRRO                        ,SN
09/03/2013 21:40,1,RUA,JARI                                              ,                                     ,                 ,SN
09/03/2013 21:40,2,RUA,TRINDADE                                          ,                                     ,                 ,SN
09/03/2013 21:41,1,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO               ,SAO GABRIEL                                       ,BAIRRO                        ,KM 25
09/03/2013 22:08,1,RUA,OLARIA DO BARREIRO                                ,OLARIA                                            ,BAIRRO                        ,417
09/03/2013 22:21,1,RUA,JOSUE MARTINS DE SOUZA                            ,LAGOA                                             ,BAIRRO                        ,443
09/03/2013 22:55,1,AVE,SILVIANO BRANDAO                                  ,HORTO                                             ,BAIRRO                        ,2100
09/03/2013 23:09,1,AVE,WALDYR SOEIRO EMRICH                              ,TEIXEIRA DIAS                                     ,CONJUNTO HABITACIONAL         ,1500'
09/03/2013 23:39,1,RUA,WALDOMIRO LOBO                                    ,GUARANI                                           ,BAIRRO                        ,770
10/03/2013 00:50,1,AVE,ITAITE                                            ,SAO GERALDO                                       ,BAIRRO                        ,220
10/03/2013 01:45,1,AVE,SINFRONIO BROCHADO                                ,BARREIRO DE BAIXO                                 ,BAIRRO                        ,167
10/03/2013 03:44,1,RUA,CURITIBA                                          ,                                     ,                 ,SN
10/03/2013 03:44,2,RUA,DOS TUPINAMBAS                                    ,                                     ,                 ,SN
10/03/2013 03:49,1,EST,NOVA PARA SANTA LUZIA                             ,CANAA                                             ,BAIRRO                        ,0
10/03/2013 06:24,1,RUA,ESTACIO DE SA                                     ,GUTIERREZ                                         ,BAIRRO                        ,950
10/03/2013 06:49,1,AVE,CRISTIANO MACHADO                                 ,HELIOPOLIS                                        ,BAIRRO                        ,10285
10/03/2013 07:05,1,AVE,BERNARDO DE VASCONCELOS                           ,CACHOEIRINHA                                      ,BAIRRO                        ,1182
10/03/2013 07:05,2,RUA,CUBATAO                                           ,CACHOEIRINHA                                      ,BAIRRO                        ,0
10/03/2013 07:05,3,RUA,CONEGO SANTANA                                    ,CACHOEIRINHA                                      ,BAIRRO                        ,SN
10/03/2013 07:40,1,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO               ,CALIFORNIA                                        ,BAIRRO                        ,0
10/03/2013 08:07,1,RUA,CURITIBA                                          ,                                     ,                 ,SN
10/03/2013 08:07,2,VDT,NANSEN ARAUJO                                     ,                                     ,                 ,0
10/03/2013 08:07,3,AVE,OIAPOQUE                                          ,                                     ,                 ,SN
10/03/2013 08:45,1,AVE,JOSE CANDIDO DA SILVEIRA                          ,UNIAO                                             ,BAIRRO                        ,2257
10/03/2013 09:26,1,RUA,DOUTOR BENEDITO XAVIER                            ,                                     ,                 ,SN
10/03/2013 09:26,2,RUA,ITAPOA                                            ,                                     ,                 ,0
10/03/2013 09:26,3,RUA,ANNA MARIA DE JESUS                               ,                                     ,                 ,SN
10/03/2013 09:45,1,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO               ,VILA SAO PAULO                                    ,VILA                          ,KM 7
10/03/2013 11:03,1,AVE,WALDYR SOEIRO EMRICH                              ,DIAMANTE                                          ,BAIRRO                        ,SN
10/03/2013 11:06,1,RUA,DOS GEOLOGOS                                      ,ALIPIO DE MELO                                    ,BAIRRO                        ,0
10/03/2013 11:06,2,AVE,JOAO PAULO I                                      ,ALIPIO DE MELO                                    ,BAIRRO                        ,0
10/03/2013 11:41,1,AVE,DOS ENGENHEIROS                                   ,                                     ,                 ,SN
10/03/2013 11:41,2,RUA,ROMUALDO LOPES CANCADO                            ,                                     ,                 ,SN
10/03/2013 11:44,1,RUA,JOSE FELIX MARTINS                                ,MANTIQUEIRA                                       ,BAIRRO                        ,73
10/03/2013 12:45,1,AVE,DOM PEDRO II                                      ,                                     ,                 ,SN
10/03/2013 12:45,2,RUA,CAMPOS GERAIS                                     ,                                     ,                 ,0
10/03/2013 12:45,3,AVE,PRESIDENTE CARLOS LUZ                             ,                                     ,                 ,SN
